[  3] 22.40-22.50 sec  8.90 MBytes   747 Mbits/sec   0.020 ms    0/    0 (-nan%) -/-/-/- ms 66635 pps
[  3] 22.50-22.60 sec  9.19 MBytes   771 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 68791 pps
[  3] 22.60-22.70 sec  9.18 MBytes   770 Mbits/sec   0.010 ms    0/    0 (-nan%) -/-/-/- ms 68855 pps
[  3] 22.70-22.80 sec  9.16 MBytes   768 Mbits/sec   0.020 ms    0/    0 (-nan%) -/-/-/- ms 68456 pps
[  3] 22.80-22.90 sec  9.15 MBytes   767 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 68576 pps
[  3] 22.90-23.00 sec  9.16 MBytes   769 Mbits/sec   0.010 ms    0/    0 (-nan%) -/-/-/- ms 68697 pps
[  3] 23.40-23.50 sec  7.61 MBytes   639 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 57021 pps
[  3] 23.50-23.60 sec  9.08 MBytes   762 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 68066 pps
[  3] 23.60-23.70 sec  9.20 MBytes   772 Mbits/sec   0.018 ms    0/    0 (-nan%) -/-/-/- ms 68906 pps
[  3] 23.70-23.80 sec  9.20 MBytes   771 Mbits/sec   0.019 ms    0/    0 (-nan%) -/-/-/- ms 68875 pps
